2024-10-02 18:20:19 [INFO] - Application Started
2024-10-02 18:20:19 [INFO] - Running 'test' subcommand
2024-10-02 18:20:19 [INFO] - Verbose: no
2024-10-02 18:20:19 [INFO] - Starting tests...
2024-10-02 18:20:19 [INFO] - Test 1 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 20..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr in 209.99ms
2024-10-02 18:20:28 [INFO] - Test 24 | PASSED | PASSED: param_from_closure in 426.20ms
2024-10-02 18:20:28 [INFO] - Test 25 | PASSED | PASSED: extract_return_stmt in 428.54ms
2024-10-02 18:20:29 [INFO] - Test 26 | PASSED | PASSED: does_not_add_extra_whitespace in 563.84ms
2024-10-02 18:20:29 [INFO] - Test 27 | PASSED | PASSED: break_stmt in 457.34ms
2024-10-02 18:20:30 [INFO] - Test 28 | PASSED | PASSED: extract_cast in 596.04ms
2024-10-02 18:20:30 [INFO] - Test 29 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 59..62, source_change: None, command: None }] | N/A: method_to_freestanding in 447.18ms
2024-10-02 18:20:31 [INFO] - Test 30 | PASSED | Error: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::`: method_with_reference in 438.72ms
2024-10-02 18:20:31 [INFO] - Test 31 | PASSED | Error: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::`: method_with_mut in 479.88ms
2024-10-02 18:20:32 [INFO] - Test 32 | PASSED | PASSED: variable_defined_inside_and_used_after_no_ret in 510.23ms
2024-10-02 18:20:32 [INFO] - Test 33 | PASSED | PASSED: variable_defined_inside_and_used_after_mutably_no_ret in 433.60ms
2024-10-02 18:20:33 [INFO] - Test 34 | PASSED | PASSED: two_variables_defined_inside_and_used_after_no_ret in 467.45ms
2024-10-02 18:20:33 [INFO] - Test 35 | PASSED | PASSED: multi_variables_defined_inside_and_used_after_mutably_no_ret in 454.46ms
2024-10-02 18:20:34 [INFO] - Test 36 | PASSED | PASSED: nontrivial_patterns_define_variables in 481.43ms
2024-10-02 18:20:34 [INFO] - Test 37 | PASSED | Error: Parse error: expected one of: `fn`, `extern`, `use`, `static`, `const`, `unsafe`, `mod`, `type`, `struct`, `enum`, `union`, `trait`, `auto`, `impl`, `default`, `macro`, identifier, `self`, `super`, `crate`, `::`: struct_with_two_fields_pattern_define_variables in 469.31ms
2024-10-02 18:20:34 [INFO] - Test 38 | PASSED | FAILED: mut_var_from_outer_scope in 471.75ms
2024-10-02 18:20:35 [INFO] - Test 39 | PASSED | FAILED: mut_field_from_outer_scope in 483.25ms
2024-10-02 18:20:35 [INFO] - Test 40 | PASSED | PASSED: mut_nested_field_from_outer_scope in 436.13ms
2024-10-02 18:20:36 [INFO] - Test 41 | PASSED | FAILED: mut_param_many_usages_stmt in 477.33ms
2024-10-02 18:20:36 [INFO] - Test 42 | PASSED | FAILED: mut_param_many_usages_expr in 462.41ms
2024-10-02 18:20:37 [INFO] - Test 43 | PASSED | PASSED: mut_param_because_of_mut_ref in 465.07ms
2024-10-02 18:20:37 [INFO] - Test 44 | PASSED | FAILED: mut_method_call in 416.90ms
2024-10-02 18:20:38 [INFO] - Test 45 | PASSED | FAILED: copy_used_after in 479.77ms
2024-10-02 18:20:38 [INFO] - Test 46 | PASSED | FAILED: copy_custom_used_after in 457.52ms
2024-10-02 18:20:39 [INFO] - Test 47 | PASSED | PASSED: indented_stmts in 452.15ms
2024-10-02 18:20:39 [INFO] - Test 48 | PASSED | PASSED: indented_stmts_inside_mod in 452.24ms
2024-10-02 18:20:40 [INFO] - Test 49 | PASSED | PASSED: break_loop in 463.48ms
2024-10-02 18:20:40 [INFO] - Test 50 | PASSED | FAILED: return_to_parent in 448.59ms
2024-10-02 18:20:41 [INFO] - Test 51 | PASSED | FAILED: break_loop_with_if in 463.41ms
2024-10-02 18:20:41 [INFO] - Test 52 | PASSED | FAILED: break_loop_nested in 485.46ms
2024-10-02 18:20:41 [INFO] - Test 53 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 426.51ms
2024-10-02 18:20:42 [INFO] - Test 54 | PASSED | FAILED: continue_loop_nested_labeled in 522.71ms
2024-10-02 18:20:42 [INFO] - Test 55 | PASSED | FAILED: return_from_nested_loop in 523.29ms
2024-10-02 18:20:43 [INFO] - Test 56 | PASSED | PASSED: break_from_nested_loop in 458.01ms
2024-10-02 18:20:43 [INFO] - Test 57 | PASSED | PASSED: break_from_nested_and_outer_loops in 473.29ms
2024-10-02 18:20:44 [INFO] - Test 58 | PASSED | PASSED: return_from_nested_fn in 456.78ms
2024-10-02 18:20:44 [INFO] - Test 59 | PASSED | PASSED: break_with_value in 517.88ms
2024-10-02 18:20:45 [INFO] - Test 60 | PASSED | PASSED: break_with_value_and_label in 523.43ms
2024-10-02 18:20:45 [INFO] - Test 61 | PASSED | FAILED: break_with_value_and_return in 486.58ms
2024-10-02 18:20:46 [INFO] - Test 62 | PASSED | FAILED: try_option in 499.86ms
2024-10-02 18:20:46 [INFO] - Test 63 | PASSED | FAILED: try_option_unit in 527.31ms
2024-10-02 18:20:47 [INFO] - Test 64 | PASSED | FAILED: try_result in 478.94ms
2024-10-02 18:20:47 [INFO] - Test 65 | PASSED | FAILED: try_option_with_return in 435.60ms
2024-10-02 18:20:48 [INFO] - Test 66 | PASSED | FAILED: try_result_with_return in 506.36ms
2024-10-02 18:20:48 [INFO] - Test 67 | PASSED | FAILED: try_and_return_ok in 449.17ms
2024-10-02 18:20:49 [INFO] - Test 68 | PASSED | PASSED: param_usage_in_macro in 529.85ms
2024-10-02 18:20:49 [INFO] - Test 69 | PASSED | FAILED: param_usage_in_macro_with_nested_tt in 455.05ms
2024-10-02 18:20:50 [INFO] - Test 70 | PASSED | PASSED: param_usage_in_macro_with_nested_tt_2 in 461.11ms
2024-10-02 18:20:50 [INFO] - Test 71 | PASSED | FAILED: extract_with_await in 446.70ms
2024-10-02 18:20:51 [INFO] - Test 72 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 70..84, source_change: None, command: None }] | N/A: extract_with_await_and_result_not_producing_match_expr in 509.27ms
2024-10-02 18:20:51 [INFO] - Test 73 | PASSED | FAILED: extract_with_await_and_result_producing_match_expr in 553.61ms
2024-10-02 18:20:52 [INFO] - Test 74 | PASSED | FAILED: extract_with_await_in_args in 465.72ms
2024-10-02 18:20:52 [INFO] - Test 75 | PASSED | PASSED: extract_does_not_tear_comments_apart in 444.09ms
2024-10-02 18:20:53 [INFO] - Test 76 | PASSED | PASSED: extract_does_not_tear_body_apart in 512.89ms
2024-10-02 18:20:53 [INFO] - Test 77 | PASSED | FAILED: extract_does_not_wrap_res_in_res in 428.81ms
2024-10-02 18:20:54 [INFO] - Test 78 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 123..129, source_change: None, command: None }] | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 515.46ms
2024-10-02 18:20:54 [INFO] - Test 79 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 90..93, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 90..97, source_change: None, command: None }] | N/A: extract_with_macro_arg in 478.38ms
2024-10-02 18:20:55 [INFO] - Test 80 | PASSED | FAILED: unresolveable_types_default_to_placeholder in 412.23ms
2024-10-02 18:20:55 [INFO] - Test 81 | PASSED | FAILED: reference_mutable_param_with_further_usages in 487.94ms
2024-10-02 18:20:56 [INFO] - Test 82 | PASSED | FAILED: reference_mutable_param_without_further_usages in 445.44ms
2024-10-02 18:20:56 [INFO] - Test 83 | PASSED | PASSED: does_not_import_control_flow in 448.31ms
2024-10-02 18:20:56 [INFO] - Test 84 | PASSED | PASSED: extract_function_copies_comment_at_start in 465.66ms
2024-10-02 18:20:57 [INFO] - Test 85 | PASSED | FAILED: extract_function_copies_comment_in_between in 494.02ms
2024-10-02 18:20:57 [INFO] - Test 86 | PASSED | PASSED: extract_function_copies_comment_at_end in 453.87ms
2024-10-02 18:20:58 [INFO] - Test 87 | PASSED | PASSED: extract_function_copies_comment_indented in 513.38ms
2024-10-02 18:20:58 [INFO] - Test 88 | PASSED | PASSED: extract_function_does_preserve_whitespace in 463.94ms
2024-10-02 18:20:59 [INFO] - Test 89 | PASSED | PASSED: extract_function_long_form_comment in 441.43ms
2024-10-02 18:20:59 [INFO] - Test 90 | PASSED | PASSED: it_should_not_generate_duplicate_function_names in 454.97ms
2024-10-02 18:21:00 [INFO] - Test 91 | PASSED | PASSED: should_increment_suffix_until_it_finds_space in 505.34ms
2024-10-02 18:21:00 [INFO] - Test 92 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_method_from_trait_impl in 433.70ms
2024-10-02 18:21:01 [INFO] - Test 93 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 166..176, source_change: None, command: None }] | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 459.51ms
2024-10-02 18:21:01 [INFO] - Test 94 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 468.90ms
2024-10-02 18:21:02 [INFO] - Test 95 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 280..289, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 301..311, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 520.64ms
2024-10-02 18:21:02 [INFO] - Test 96 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 441..451, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 412..422, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 434.27ms
2024-10-02 18:21:03 [INFO] - Test 97 | PASSED | FAILED: closure_arguments in 446.02ms
2024-10-02 18:21:03 [INFO] - Test 98 | PASSED | FAILED: preserve_generics in 538.36ms
2024-10-02 18:21:04 [INFO] - Test 99 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 489.51ms
2024-10-02 18:21:04 [INFO] - Test 100 | PASSED | PASSED: preserve_generics_from_body in 487.32ms
2024-10-02 18:21:05 [INFO] - Test 101 | PASSED | FAILED: filter_unused_generics in 590.16ms
2024-10-02 18:21:05 [INFO] - Test 102 | PASSED | FAILED: empty_generic_param_list in 667.20ms
2024-10-02 18:21:06 [INFO] - Test 103 | PASSED | FAILED: preserve_where_clause in 610.52ms
2024-10-02 18:21:07 [INFO] - Test 104 | PASSED | FAILED: filter_unused_where_clause in 691.55ms
2024-10-02 18:21:07 [INFO] - Test 105 | PASSED | PASSED: nested_generics in 726.23ms
2024-10-02 18:21:08 [INFO] - Test 106 | PASSED | PASSED: filters_unused_nested_generics in 602.28ms
2024-10-02 18:21:09 [INFO] - Test 107 | PASSED | PASSED: nested_where_clauses in 786.37ms
2024-10-02 18:21:10 [INFO] - Test 108 | PASSED | PASSED: filters_unused_nested_where_clauses in 824.59ms
2024-10-02 18:21:10 [INFO] - Test 109 | PASSED | FAILED: tail_expr_no_extra_control_flow in 793.51ms
2024-10-02 18:21:11 [INFO] - Test 110 | PASSED | PASSED: non_tail_expr_of_tail_expr_loop in 747.36ms
2024-10-02 18:21:12 [INFO] - Test 111 | PASSED | FAILED: non_tail_expr_of_tail_if_block in 672.87ms
2024-10-02 18:21:13 [INFO] - Test 112 | PASSED | FAILED: tail_expr_of_tail_block_nested in 715.37ms
2024-10-02 18:21:13 [INFO] - Test 113 | PASSED | PASSED: non_tail_expr_with_comment_of_tail_expr_loop in 723.32ms
2024-10-02 18:21:14 [INFO] - Test 114 | PASSED | FAILED: comments_in_block_expr in 974.15ms
2024-10-02 18:21:14 [INFO] - ------------------------------------------------------------------
2024-10-02 18:21:14 [INFO] - Total tests run: 114
2024-10-02 18:21:14 [INFO] - Tests passed stage 1: 98
2024-10-02 18:21:14 [INFO] - Tests passed: 55
2024-10-02 18:21:14 [INFO] - Tests failed: 59
2024-10-02 18:21:14 [INFO] - Total time: 55.07s
2024-10-02 18:21:14 [INFO] - Average time per test: 479.12ms
2024-10-02 18:21:14 [INFO] - Shortest test time: 209.99ms
2024-10-02 18:21:14 [INFO] - Longest test time: 974.15ms
