2024-10-03 00:45:19 [INFO] - Application Started
2024-10-03 00:45:19 [INFO] - Running 'test' subcommand
2024-10-03 00:45:19 [INFO] - Verbose: yes
2024-10-03 00:45:19 [INFO] - Starting tests...
2024-10-03 00:45:20 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.30s
2024-10-03 00:45:41 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 1.22s
2024-10-03 00:45:42 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 1.28s
2024-10-03 00:45:43 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 1.24s
2024-10-03 00:45:45 [INFO] - Test 20 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 26..43, source_change: None, command: None }] | N/A: does_not_import_control_flow in 1.23s
2024-10-03 00:45:46 [INFO] - Test 21 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.18s
2024-10-03 00:45:47 [INFO] - Test 22 | PASSED | FAILED: empty_generic_param_list in 1.33s
2024-10-03 00:45:48 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 1.20s
2024-10-03 00:45:49 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 1.16s
2024-10-03 00:45:51 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.26s
2024-10-03 00:45:52 [INFO] - Test 26 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 35..61, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 60..97, source_change: None, command: None }] | N/A: extract_does_not_wrap_res_in_res in 1.19s
2024-10-03 00:45:53 [INFO] - Test 27 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 1.22s
2024-10-03 00:45:54 [INFO] - Test 28 | PASSED | PASSED: extract_function_copies_comment_at_end in 1.22s
2024-10-03 00:45:56 [INFO] - Test 29 | PASSED | PASSED: extract_function_copies_comment_at_start in 1.26s
2024-10-03 00:45:57 [INFO] - Test 30 | PASSED | FAILED: extract_function_copies_comment_in_between in 1.22s
2024-10-03 00:45:58 [INFO] - Test 31 | PASSED | PASSED: extract_function_copies_comment_indented in 1.22s
2024-10-03 00:45:59 [INFO] - Test 32 | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.25s
2024-10-03 00:46:01 [INFO] - Test 33 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 1.26s
2024-10-03 00:46:02 [INFO] - Test 34 | PASSED | PASSED: extract_function_long_form_comment in 1.22s
2024-10-03 00:46:03 [INFO] - Test 35 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_method_from_trait_impl in 1.27s
2024-10-03 00:46:04 [INFO] - Test 36 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 166..176, source_change: None, command: None }] | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 1.16s
2024-10-03 00:46:05 [INFO] - Test 37 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 280..289, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 301..311, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 1.25s
2024-10-03 00:46:07 [INFO] - Test 38 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 441..451, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 412..422, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 1.20s
2024-10-03 00:46:08 [INFO] - Test 39 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 123..129, source_change: None, command: None }] | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.17s
2024-10-03 00:46:09 [INFO] - Test 40 | PASSED | PASSED: extract_partial_block in 1.27s
2024-10-03 00:46:10 [INFO] - Test 41 | PASSED | PASSED: extract_partial_block_single_line in 1.20s
2024-10-03 00:46:12 [INFO] - Test 42 | PASSED | PASSED: extract_return_stmt in 1.27s
2024-10-03 00:46:13 [INFO] - Test 43 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 17..38, source_change: None, command: None }] | N/A: extract_with_await in 1.19s
