2024-10-02 23:31:13 [INFO] - Application Started
2024-10-02 23:31:13 [INFO] - Running 'test' subcommand
2024-10-02 23:31:13 [INFO] - Verbose: yes
2024-10-02 23:31:13 [INFO] - Starting tests...
2024-10-02 23:31:14 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.32s
2024-10-02 23:32:09 [INFO] - Test 38 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 441..451, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 412..422, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 1.26s
2024-10-02 23:32:11 [INFO] - Test 39 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.28s
2024-10-02 23:32:12 [INFO] - Test 40 | PASSED | PASSED: extract_partial_block in 1.22s
2024-10-02 23:32:13 [INFO] - Test 41 | PASSED | PASSED: extract_partial_block_single_line in 1.27s
2024-10-02 23:32:14 [INFO] - Test 42 | PASSED | PASSED: extract_return_stmt in 1.18s
2024-10-02 23:32:16 [INFO] - Test 43 | PASSED | FAILED: extract_with_await in 1.49s
2024-10-02 23:32:17 [INFO] - Test 44 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 70..84, source_change: None, command: None }] | N/A: extract_with_await_and_result_not_producing_match_expr in 1.46s
2024-10-02 23:32:18 [INFO] - Test 45 | PASSED | FAILED: extract_with_await_and_result_producing_match_expr in 1.28s
2024-10-02 23:32:20 [INFO] - Test 46 | PASSED | FAILED: extract_with_await_in_args in 1.35s
2024-10-02 23:32:21 [INFO] - Test 47 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 90..94, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 90..97, source_change: None, command: None }] | N/A: extract_with_macro_arg in 1.24s
2024-10-02 23:32:22 [INFO] - Test 48 | PASSED | FAILED: filter_unused_generics in 1.18s
2024-10-02 23:32:24 [INFO] - Test 49 | PASSED | FAILED: filter_unused_where_clause in 1.25s
2024-10-02 23:32:25 [INFO] - Test 50 | PASSED | PASSED: filters_unused_nested_generics in 1.17s
2024-10-02 23:32:26 [INFO] - Test 51 | PASSED | PASSED: filters_unused_nested_where_clauses in 1.22s
2024-10-02 23:32:27 [INFO] - Test 52 | PASSED | PASSED: function_expr in 1.23s
2024-10-02 23:32:28 [INFO] - Test 53 | PASSED | PASSED: indented_stmts in 1.23s
2024-10-02 23:32:30 [INFO] - Test 54 | PASSED | PASSED: indented_stmts_inside_mod in 1.37s
2024-10-02 23:32:31 [INFO] - Test 55 | PASSED | PASSED: it_should_not_generate_duplicate_function_names in 1.25s
2024-10-02 23:32:32 [INFO] - Test 56 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 59..62, source_change: None, command: None }] | N/A: method_to_freestanding in 1.20s
2024-10-02 23:32:33 [INFO] - Test 57 | PASSED | FAILED: method_with_mut in 1.21s
2024-10-02 23:32:35 [INFO] - Test 58 | PASSED | PASSED: method_with_reference in 1.34s
2024-10-02 23:32:36 [INFO] - Test 59 | PASSED | PASSED: multi_variables_defined_inside_and_used_after_mutably_no_ret in 1.29s
2024-10-02 23:32:37 [INFO] - Test 60 | PASSED | FAILED: mut_field_from_outer_scope in 1.20s
2024-10-02 23:32:39 [INFO] - Test 61 | PASSED | FAILED: mut_method_call in 1.30s
2024-10-02 23:32:40 [INFO] - Test 62 | PASSED | PASSED: mut_nested_field_from_outer_scope in 1.17s
2024-10-02 23:32:41 [INFO] - Test 63 | PASSED | PASSED: mut_param_because_of_mut_ref in 1.20s
2024-10-02 23:32:42 [INFO] - Test 64 | PASSED | FAILED: mut_param_many_usages_expr in 1.15s
2024-10-02 23:32:43 [INFO] - Test 65 | PASSED | FAILED: mut_param_many_usages_stmt in 1.13s
2024-10-02 23:32:45 [INFO] - Test 66 | PASSED | FAILED: mut_var_from_outer_scope in 1.19s
2024-10-02 23:32:46 [INFO] - Test 67 | PASSED | PASSED: nested_generics in 1.23s
2024-10-02 23:32:47 [INFO] - Test 68 | PASSED | PASSED: nested_where_clauses in 1.26s
2024-10-02 23:32:48 [INFO] - Test 69 | PASSED | PASSED: no_args_for in 1.11s
2024-10-02 23:32:49 [INFO] - Test 70 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 20..25, source_change: None, command: None }] | N/A: no_args_from_binary_expr in 1.19s
2024-10-02 23:32:51 [INFO] - Test 71 | PASSED | FAILED: no_args_from_binary_expr_in_module in 1.19s
2024-10-02 23:32:52 [INFO] - Test 72 | PASSED | PASSED: no_args_from_binary_expr_indented in 1.20s
2024-10-02 23:32:53 [INFO] - Test 73 | PASSED | PASSED: no_args_from_loop_unit in 1.33s
2024-10-02 23:32:54 [INFO] - Test 74 | PASSED | PASSED: no_args_from_loop_with_return in 1.22s
2024-10-02 23:32:56 [INFO] - Test 75 | PASSED | PASSED: no_args_from_match in 1.26s
2024-10-02 23:32:57 [INFO] - Test 76 | PASSED | PASSED: no_args_from_stmt_unit in 1.25s
2024-10-02 23:32:58 [INFO] - Test 77 | PASSED | PASSED: no_args_from_stmt_with_last_expr in 1.30s
2024-10-02 23:32:59 [INFO] - Test 78 | PASSED | PASSED: no_args_if in 1.21s
2024-10-02 23:33:01 [INFO] - Test 79 | PASSED | PASSED: no_args_if_else in 1.23s
2024-10-02 23:33:02 [INFO] - Test 80 | PASSED | PASSED: no_args_if_let_else in 1.23s
2024-10-02 23:33:03 [INFO] - Test 81 | PASSED | PASSED: no_args_match in 1.24s
2024-10-02 23:33:04 [INFO] - Test 82 | PASSED | PASSED: no_args_while in 1.25s
2024-10-02 23:33:06 [INFO] - Test 83 | PASSED | PASSED: non_tail_expr_of_tail_expr_loop in 1.45s
2024-10-02 23:33:07 [INFO] - Test 84 | PASSED | FAILED: non_tail_expr_of_tail_if_block in 1.22s
2024-10-02 23:33:08 [INFO] - Test 85 | PASSED | PASSED: non_tail_expr_with_comment_of_tail_expr_loop in 1.20s
2024-10-02 23:33:09 [INFO] - Test 86 | PASSED | PASSED: nontrivial_patterns_define_variables in 1.22s
2024-10-02 23:33:11 [INFO] - Test 87 | PASSED | PASSED: param_from_closure in 1.24s
2024-10-02 23:33:12 [INFO] - Test 88 | PASSED | PASSED: param_usage_in_macro in 1.17s
2024-10-02 23:33:13 [INFO] - Test 89 | PASSED | FAILED: param_usage_in_macro_with_nested_tt in 1.16s
2024-10-02 23:33:14 [INFO] - Test 90 | PASSED | PASSED: param_usage_in_macro_with_nested_tt_2 in 1.24s
2024-10-02 23:33:16 [INFO] - Test 91 | PASSED | PASSED: part_of_expr_stmt in 1.29s
2024-10-02 23:33:17 [INFO] - Test 92 | PASSED | PASSED: preserve_generics in 1.30s
2024-10-02 23:33:18 [INFO] - Test 93 | PASSED | PASSED: preserve_generics_from_body in 1.19s
2024-10-02 23:33:19 [INFO] - Test 94 | PASSED | PASSED: preserve_where_clause in 1.19s
2024-10-02 23:33:20 [INFO] - Test 95 | PASSED | FAILED: reference_mutable_param_with_further_usages in 1.19s
2024-10-02 23:33:22 [INFO] - Test 96 | PASSED | FAILED: reference_mutable_param_without_further_usages in 1.21s
2024-10-02 23:33:23 [INFO] - Test 97 | PASSED | PASSED: return_from_nested_fn in 1.40s
2024-10-02 23:33:24 [INFO] - Test 98 | PASSED | FAILED: return_from_nested_loop in 1.26s
2024-10-02 23:33:26 [INFO] - Test 99 | PASSED | FAILED: return_to_parent in 1.20s
2024-10-02 23:33:27 [INFO] - Test 100 | PASSED | PASSED: should_increment_suffix_until_it_finds_space in 1.29s
2024-10-02 23:33:28 [INFO] - Test 101 | PASSED | Error: Parse error: expected `;`: struct_with_two_fields_pattern_define_variables in 1.25s
2024-10-02 23:33:29 [INFO] - Test 102 | PASSED | FAILED: tail_expr_no_extra_control_flow in 1.20s
2024-10-02 23:33:31 [INFO] - Test 103 | PASSED | FAILED: tail_expr_of_tail_block_nested in 1.25s
2024-10-02 23:33:32 [INFO] - Test 104 | PASSED | FAILED: try_and_return_ok in 1.20s
2024-10-02 23:33:33 [INFO] - Test 105 | PASSED | FAILED: try_option in 1.34s
2024-10-02 23:33:35 [INFO] - Test 106 | PASSED | FAILED: try_option_unit in 1.34s
2024-10-02 23:33:36 [INFO] - Test 107 | PASSED | FAILED: try_option_with_return in 1.90s
2024-10-02 23:33:38 [INFO] - Test 108 | PASSED | FAILED: try_result in 1.95s
2024-10-02 23:33:41 [INFO] - Test 109 | PASSED | FAILED: try_result_with_return in 2.52s
2024-10-02 23:33:42 [INFO] - Test 110 | PASSED | PASSED: two_arguments_form_expr in 1.45s
2024-10-02 23:33:45 [INFO] - Test 111 | PASSED | PASSED: two_variables_defined_inside_and_used_after_no_ret in 2.64s
2024-10-02 23:33:47 [INFO] - Test 112 | PASSED | FAILED: unresolveable_types_default_to_placeholder in 2.18s
2024-10-02 23:33:49 [INFO] - Test 113 | PASSED | PASSED: variable_defined_inside_and_used_after_mutably_no_ret in 1.37s
2024-10-02 23:33:50 [INFO] - Test 114 | PASSED | PASSED: variable_defined_inside_and_used_after_no_ret in 1.30s
2024-10-02 23:33:50 [INFO] - ------------------------------------------------------------------
2024-10-02 23:33:50 [INFO] - Total tests run: 114
2024-10-02 23:33:50 [INFO] - Tests passed stage 1: 102
2024-10-02 23:33:50 [INFO] - Tests passed: 62
2024-10-02 23:33:50 [INFO] - Tests failed: 52
2024-10-02 23:33:50 [INFO] - Total time: 156.74s
2024-10-02 23:33:50 [INFO] - Average time per test: 1.37s
2024-10-02 23:33:50 [INFO] - Shortest test time: 1.11s
2024-10-02 23:33:50 [INFO] - Longest test time: 2.64s
