2024-10-03 00:49:31 [INFO] - Application Started
2024-10-03 00:49:31 [INFO] - Running 'test' subcommand
2024-10-03 00:49:31 [INFO] - Verbose: yes
2024-10-03 00:49:31 [INFO] - Starting tests...
2024-10-03 00:49:32 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.29s
2024-10-03 00:50:04 [INFO] - Test 20 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 26..43, source_change: None, command: None }] | N/A: does_not_import_control_flow in 1.74s
2024-10-03 00:50:06 [INFO] - Test 21 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 2.35s
2024-10-03 00:50:08 [INFO] - Test 22 | PASSED | FAILED: empty_generic_param_list in 1.59s
2024-10-03 00:50:10 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 2.14s
2024-10-03 00:50:13 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 2.59s
2024-10-03 00:50:14 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.43s
2024-10-03 00:50:16 [INFO] - Test 26 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 35..61, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 60..97, source_change: None, command: None }] | N/A: extract_does_not_wrap_res_in_res in 1.48s
2024-10-03 00:50:18 [INFO] - Test 27 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 1.79s
2024-10-03 00:50:20 [INFO] - Test 28 | PASSED | PASSED: extract_function_copies_comment_at_end in 2.41s
2024-10-03 00:50:21 [INFO] - Test 29 | PASSED | PASSED: extract_function_copies_comment_at_start in 1.27s
2024-10-03 00:50:23 [INFO] - Test 30 | PASSED | FAILED: extract_function_copies_comment_in_between in 1.38s
2024-10-03 00:50:24 [INFO] - Test 31 | PASSED | PASSED: extract_function_copies_comment_indented in 1.38s
2024-10-03 00:50:25 [INFO] - Test 32 | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.33s
2024-10-03 00:50:27 [INFO] - Test 33 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 1.22s
2024-10-03 00:50:29 [INFO] - Test 34 | PASSED | PASSED: extract_function_long_form_comment in 1.88s
2024-10-03 00:50:31 [INFO] - Test 35 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_method_from_trait_impl in 2.50s
2024-10-03 00:50:34 [INFO] - Test 36 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 166..176, source_change: None, command: None }] | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 2.81s
2024-10-03 00:50:37 [INFO] - Test 37 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 280..289, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 301..311, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 2.70s
2024-10-03 00:50:39 [INFO] - Test 38 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 441..451, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 412..422, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 2.28s
2024-10-03 00:50:40 [INFO] - Test 39 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 123..129, source_change: None, command: None }] | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.51s
2024-10-03 00:50:42 [INFO] - Test 40 | PASSED | PASSED: extract_partial_block in 1.33s
2024-10-03 00:50:44 [INFO] - Test 41 | PASSED | PASSED: extract_partial_block_single_line in 1.86s
2024-10-03 00:50:46 [INFO] - Test 42 | PASSED | PASSED: extract_return_stmt in 2.18s
2024-10-03 00:50:48 [INFO] - Test 43 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 17..38, source_change: None, command: None }] | N/A: extract_with_await in 2.21s
