2024-10-11 02:20:50 [INFO] - Application Started
2024-10-11 02:20:50 [INFO] - Running 'test' subcommand
2024-10-11 02:20:50 [INFO] - Verbose: yes
2024-10-11 02:20:50 [INFO] - Starting tests...
2024-10-11 02:20:51 [INFO] - Test 1 | PASSED | PASSED | PASSED: argument_and_locals in 1.29s
2024-10-11 02:21:19 [INFO] - Test 20 | PASSED | PASSED | PASSED: does_not_import_control_flow in 1.29s
2024-10-11 02:21:21 [INFO] - Test 21 | PASSED | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.29s
2024-10-11 02:21:22 [INFO] - Test 22 | PASSED | PASSED | FAILED: empty_generic_param_list in 1.15s
2024-10-11 02:21:23 [INFO] - Test 23 | PASSED | PASSED | FAILED: extract_cast in 1.19s
2024-10-11 02:21:25 [INFO] - Test 24 | PASSED | PASSED | PASSED: extract_does_not_tear_body_apart in 1.33s
2024-10-11 02:21:26 [INFO] - Test 25 | PASSED | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.33s
2024-10-11 02:21:28 [INFO] - Test 26 | PASSED | FAILED | FAILED: extract_does_not_wrap_res_in_res in 1.19s
2024-10-11 02:21:29 [INFO] - Test 27 | PASSED | Error: Parse error: expected `,` | FAILED: extract_from_nested in 1.27s
2024-10-11 02:21:30 [INFO] - Test 28 | PASSED | PASSED | PASSED: extract_function_copies_comment_at_end in 1.20s
2024-10-11 02:21:32 [INFO] - Test 29 | PASSED | PASSED | PASSED: extract_function_copies_comment_at_start in 1.26s
2024-10-11 02:21:33 [INFO] - Test 30 | PASSED | PASSED | PASSED: extract_function_copies_comment_in_between in 1.33s
2024-10-11 02:21:35 [INFO] - Test 31 | PASSED | PASSED | PASSED: extract_function_copies_comment_indented in 1.28s
2024-10-11 02:21:36 [INFO] - Test 32 | PASSED | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.29s
2024-10-11 02:21:38 [INFO] - Test 33 | PASSED | PASSED | PASSED: extract_function_from_trait_with_existing_non_empty_impl_block in 1.32s
2024-10-11 02:21:39 [INFO] - Test 34 | PASSED | PASSED | PASSED: extract_function_long_form_comment in 1.34s
2024-10-11 02:21:42 [INFO] - Test 35 | PASSED | PASSED | PASSED: extract_method_from_trait_impl in 1.79s
2024-10-11 02:21:43 [INFO] - Test 36 | PASSED | PASSED | PASSED: extract_method_from_trait_with_existing_non_empty_impl_block in 1.74s
2024-10-11 02:21:45 [INFO] - Test 37 | PASSED | PASSED | PASSED: extract_method_from_trait_with_multiple_existing_impl_blocks in 1.27s
2024-10-11 02:21:47 [INFO] - Test 38 | PASSED | PASSED | PASSED: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 1.41s
2024-10-11 02:21:48 [INFO] - Test 39 | PASSED | PASSED | PASSED: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.36s
2024-10-11 02:21:50 [INFO] - Test 40 | PASSED | PASSED | PASSED: extract_partial_block in 1.22s
2024-10-11 02:21:51 [INFO] - Test 41 | PASSED | PASSED | PASSED: extract_partial_block_single_line in 1.22s
2024-10-11 02:21:53 [INFO] - Test 42 | PASSED | PASSED | PASSED: extract_return_stmt in 1.56s
2024-10-11 02:21:54 [INFO] - Test 43 | PASSED | PASSED | FAILED: extract_with_await in 1.23s
2024-10-11 02:21:55 [INFO] - Test 44 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 40..54, source_change: None, command: None }] | N/A | N/A: extract_with_await_and_result_not_producing_match_expr in 1.31s
2024-10-11 02:21:57 [INFO] - Test 45 | PASSED | PASSED | FAILED: extract_with_await_and_result_producing_match_expr in 1.28s
2024-10-11 02:21:58 [INFO] - Test 46 | PASSED | PASSED | FAILED: extract_with_await_in_args in 1.26s
2024-10-11 02:22:00 [INFO] - Test 47 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: extract_with_macro_arg in 1.86s
2024-10-11 02:22:02 [INFO] - Test 48 | PASSED | PASSED | FAILED: filter_unused_generics in 1.98s
2024-10-11 02:22:05 [INFO] - Test 49 | PASSED | PASSED | FAILED: filter_unused_where_clause in 2.47s
2024-10-11 02:22:07 [INFO] - Test 50 | PASSED | PASSED | FAILED: filters_unused_nested_generics in 1.96s
2024-10-11 02:22:09 [INFO] - Test 51 | PASSED | PASSED | FAILED: filters_unused_nested_where_clauses in 1.56s
2024-10-11 02:22:11 [INFO] - Test 52 | PASSED | PASSED | FAILED: function_expr in 2.00s
2024-10-11 02:22:15 [INFO] - Test 53 | PASSED | PASSED | PASSED: indented_stmts in 2.60s
2024-10-11 02:22:18 [INFO] - Test 54 | PASSED | PASSED | PASSED: indented_stmts_inside_mod in 3.25s
2024-10-11 02:22:22 [INFO] - Test 55 | PASSED | PASSED | PASSED: it_should_not_generate_duplicate_function_names in 2.88s
2024-10-11 02:22:24 [INFO] - Test 56 | PASSED | PASSED | PASSED: method_to_freestanding in 1.93s
2024-10-11 02:22:26 [INFO] - Test 57 | PASSED | PASSED | PASSED: method_with_mut in 1.56s
2024-10-11 02:22:28 [INFO] - Test 58 | PASSED | PASSED | PASSED: method_with_reference in 2.02s
2024-10-11 02:22:30 [INFO] - Test 59 | PASSED | PASSED | PASSED: multi_variables_defined_inside_and_used_after_mutably_no_ret in 1.75s
2024-10-11 02:22:33 [INFO] - Test 60 | PASSED | PASSED | PASSED: mut_field_from_outer_scope in 2.30s
2024-10-11 02:22:35 [INFO] - Test 61 | PASSED | PASSED | PASSED: mut_method_call in 1.90s
2024-10-11 02:22:38 [INFO] - Test 62 | PASSED | PASSED | PASSED: mut_nested_field_from_outer_scope in 2.32s
2024-10-11 02:22:41 [INFO] - Test 63 | PASSED | PASSED | PASSED: mut_param_because_of_mut_ref in 2.61s
2024-10-11 02:22:44 [INFO] - Test 64 | PASSED | PASSED | FAILED: mut_param_many_usages_expr in 2.44s
2024-10-11 02:22:46 [INFO] - Test 65 | PASSED | PASSED | FAILED: mut_param_many_usages_stmt in 1.65s
2024-10-11 02:22:48 [INFO] - Test 66 | PASSED | PASSED | PASSED: mut_var_from_outer_scope in 1.62s
2024-10-11 02:22:50 [INFO] - Test 67 | PASSED | PASSED | PASSED: nested_generics in 1.77s
2024-10-11 02:22:52 [INFO] - Test 68 | PASSED | PASSED | PASSED: nested_where_clauses in 1.81s
2024-10-11 02:22:54 [INFO] - Test 69 | PASSED | PASSED | PASSED: no_args_for in 1.69s
2024-10-11 02:22:55 [INFO] - Test 70 | PASSED | PASSED | FAILED: no_args_from_binary_expr in 1.59s
2024-10-11 02:22:57 [INFO] - Test 71 | PASSED | PASSED | FAILED: no_args_from_binary_expr_in_module in 1.42s
2024-10-11 02:22:58 [INFO] - Test 72 | PASSED | PASSED | PASSED: no_args_from_binary_expr_indented in 1.32s
2024-10-11 02:23:00 [INFO] - Test 73 | PASSED | PASSED | PASSED: no_args_from_loop_unit in 1.30s
2024-10-11 02:23:02 [INFO] - Test 74 | PASSED | PASSED | PASSED: no_args_from_loop_with_return in 1.36s
2024-10-11 02:23:03 [INFO] - Test 75 | PASSED | PASSED | PASSED: no_args_from_match in 1.52s
2024-10-11 02:23:05 [INFO] - Test 76 | PASSED | PASSED | PASSED: no_args_from_stmt_unit in 1.63s
2024-10-11 02:23:07 [INFO] - Test 77 | PASSED | PASSED | PASSED: no_args_from_stmt_with_last_expr in 1.68s
2024-10-11 02:23:09 [INFO] - Test 78 | PASSED | PASSED | PASSED: no_args_if in 1.77s
2024-10-11 02:23:11 [INFO] - Test 79 | PASSED | PASSED | PASSED: no_args_if_else in 1.45s
2024-10-11 02:23:12 [INFO] - Test 80 | PASSED | PASSED | PASSED: no_args_if_let_else in 1.27s
2024-10-11 02:23:14 [INFO] - Test 81 | PASSED | PASSED | PASSED: no_args_match in 1.24s
2024-10-11 02:23:16 [INFO] - Test 82 | PASSED | PASSED | PASSED: no_args_while in 1.60s
2024-10-11 02:23:17 [INFO] - Test 83 | PASSED | FAILED | PASSED: non_tail_expr_of_tail_expr_loop in 1.32s
2024-10-11 02:23:19 [INFO] - Test 84 | PASSED | FAILED | FAILED: non_tail_expr_of_tail_if_block in 1.28s
2024-10-11 02:23:20 [INFO] - Test 85 | PASSED | FAILED | PASSED: non_tail_expr_with_comment_of_tail_expr_loop in 1.35s
2024-10-11 02:23:22 [INFO] - Test 86 | PASSED | PASSED | PASSED: nontrivial_patterns_define_variables in 1.74s
2024-10-11 02:23:24 [INFO] - Test 87 | PASSED | PASSED | FAILED: param_from_closure in 1.55s
2024-10-11 02:23:25 [INFO] - Test 88 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: param_usage_in_macro in 1.35s
2024-10-11 02:23:26 [INFO] - Test 89 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: param_usage_in_macro_with_nested_tt in 1.28s
2024-10-11 02:23:28 [INFO] - Test 90 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 116..117, source_change: None, command: None }] | N/A | N/A: param_usage_in_macro_with_nested_tt_2 in 1.28s
2024-10-11 02:23:29 [INFO] - Test 91 | PASSED | PASSED | PASSED: part_of_expr_stmt in 1.21s
2024-10-11 02:23:30 [INFO] - Test 92 | PASSED | PASSED | FAILED: preserve_generics in 1.25s
2024-10-11 02:23:32 [INFO] - Test 93 | PASSED | PASSED | PASSED: preserve_generics_from_body in 1.27s
2024-10-11 02:23:33 [INFO] - Test 94 | PASSED | PASSED | FAILED: preserve_where_clause in 1.21s
2024-10-11 02:23:35 [INFO] - Test 95 | PASSED | PASSED | PASSED: reference_mutable_param_with_further_usages in 1.22s
2024-10-11 02:23:36 [INFO] - Test 96 | PASSED | PASSED | PASSED: reference_mutable_param_without_further_usages in 1.28s
2024-10-11 02:23:37 [INFO] - Test 97 | PASSED | PASSED | PASSED: return_from_nested_fn in 1.19s
2024-10-11 02:23:39 [INFO] - Test 98 | PASSED | PASSED | PASSED: return_from_nested_loop in 1.25s
2024-10-11 02:23:40 [INFO] - Test 99 | PASSED | FAILED | PASSED: return_to_parent in 1.19s
2024-10-11 02:23:42 [INFO] - Test 100 | PASSED | PASSED | PASSED: should_increment_suffix_until_it_finds_space in 1.22s
2024-10-11 02:23:43 [INFO] - Test 101 | PASSED | Error: Parse error: expected `;` | FAILED: struct_with_two_fields_pattern_define_variables in 1.19s
2024-10-11 02:23:44 [INFO] - Test 102 | PASSED | FAILED | FAILED: tail_expr_no_extra_control_flow in 1.21s
2024-10-11 02:23:46 [INFO] - Test 103 | PASSED | FAILED | FAILED: tail_expr_of_tail_block_nested in 1.26s
2024-10-11 02:23:47 [INFO] - Test 104 | PASSED | FAILED | FAILED: try_and_return_ok in 1.14s
2024-10-11 02:23:48 [INFO] - Test 105 | PASSED | FAILED | FAILED: try_option in 1.21s
2024-10-11 02:23:50 [INFO] - Test 106 | PASSED | FAILED | FAILED: try_option_unit in 1.29s
2024-10-11 02:23:51 [INFO] - Test 107 | PASSED | FAILED | FAILED: try_option_with_return in 1.23s
2024-10-11 02:23:52 [INFO] - Test 108 | PASSED | FAILED | FAILED: try_result in 1.20s
2024-10-11 02:23:54 [INFO] - Test 109 | PASSED | FAILED | FAILED: try_result_with_return in 1.25s
2024-10-11 02:23:55 [INFO] - Test 110 | PASSED | PASSED | PASSED: two_arguments_form_expr in 1.28s
2024-10-11 02:23:57 [INFO] - Test 111 | PASSED | PASSED | PASSED: two_variables_defined_inside_and_used_after_no_ret in 1.38s
2024-10-11 02:23:58 [INFO] - Test 112 | PASSED | PASSED | FAILED: unresolveable_types_default_to_placeholder in 1.22s
2024-10-11 02:24:00 [INFO] - Test 113 | PASSED | PASSED | PASSED: variable_defined_inside_and_used_after_mutably_no_ret in 1.24s
2024-10-11 02:24:01 [INFO] - Test 114 | PASSED | PASSED | PASSED: variable_defined_inside_and_used_after_no_ret in 1.25s
2024-10-11 02:24:01 [INFO] - ------------------------------------------------------------------
2024-10-11 02:24:01 [INFO] - Total tests run: 114
2024-10-11 02:24:01 [INFO] - Tests passed stage 1: 109
2024-10-11 02:24:01 [INFO] - Tests passed: 92
2024-10-11 02:24:01 [INFO] - Tests failed: 22
2024-10-11 02:24:01 [INFO] - Total time: 191.25s
2024-10-11 02:24:01 [INFO] - Average time per test: 1.47s
2024-10-11 02:24:01 [INFO] - Shortest test time: 1.14s
2024-10-11 02:24:01 [INFO] - Longest test time: 3.25s
