2024-09-25 15:57:05 [INFO] - Application Started
2024-09-25 15:57:05 [INFO] - Running 'test' subcommand
2024-09-25 15:57:05 [INFO] - Verbose: no
2024-09-25 15:57:05 [INFO] - Starting tests...
2024-09-25 15:57:05 [INFO] - Test 1 | PASSED | FAILED: no_args_from_binary_expr in 1.05ms
2024-09-25 15:57:05 [INFO] - Test 104 | PASSED | FAILED: filter_unused_where_clause in 0.70ms
2024-09-25 15:57:05 [INFO] - Test 105 | PASSED | FAILED: nested_generics in 1.42ms
2024-09-25 15:57:05 [INFO] - Test 106 | PASSED | FAILED: filters_unused_nested_generics in 1.84ms
2024-09-25 15:57:05 [INFO] - Test 107 | PASSED | FAILED: nested_where_clauses in 1.16ms
2024-09-25 15:57:05 [INFO] - Test 108 | PASSED | FAILED: filters_unused_nested_where_clauses in 1.44ms
2024-09-25 15:57:05 [INFO] - Test 109 | PASSED | Error: Parse error: expected `!`: tail_expr_no_extra_control_flow in 1.34ms
2024-09-25 15:57:05 [INFO] - Test 110 | PASSED | Error: Parse error: expected `!`: non_tail_expr_of_tail_expr_loop in 0.86ms
2024-09-25 15:57:05 [INFO] - Test 111 | PASSED | Error: Parse error: expected `!`: non_tail_expr_of_tail_if_block in 1.28ms
2024-09-25 15:57:05 [INFO] - Test 112 | PASSED | Error: Parse error: expected `!`: tail_expr_of_tail_block_nested in 1.30ms
2024-09-25 15:57:05 [INFO] - Test 113 | PASSED | Error: Parse error: unexpected end of input, expected identifier: non_tail_expr_with_comment_of_tail_expr_loop in 0.82ms
2024-09-25 15:57:05 [INFO] - Test 114 | PASSED | Error: Parse error: cannot parse string into token stream: comments_in_block_expr in 0.88ms
2024-09-25 15:57:05 [INFO] - ------------------------------------------------------------------
2024-09-25 15:57:05 [INFO] - Total tests run: 114
2024-09-25 15:57:05 [INFO] - Tests passed stage 1: 111
2024-09-25 15:57:05 [INFO] - Tests passed: 0
2024-09-25 15:57:05 [INFO] - Tests failed: 114
2024-09-25 15:57:05 [INFO] - Total time: 384.03ms
2024-09-25 15:57:05 [INFO] - Average time per test: 0.92ms
2024-09-25 15:57:05 [INFO] - Shortest test time: 0.12ms
2024-09-25 15:57:05 [INFO] - Longest test time: 2.04ms
