2024-09-20 13:10:20 [INFO] - Application Started
2024-09-20 13:10:20 [INFO] - Running 'test' subcommand
2024-09-20 13:10:20 [INFO] - Verbose: no
2024-09-20 13:10:20 [INFO] - Starting tests...
2024-09-20 13:10:20 [INFO] - Test 1 | FAILED: Invalid line range | N/A: no_args_from_binary_expr in 6.48ms
2024-09-20 13:10:21 [INFO] - Test 38 | FAILED: Invalid line range | N/A: mut_var_from_outer_scope in 4.94ms
2024-09-20 13:10:21 [INFO] - Test 39 | FAILED: Invalid line range | N/A: mut_field_from_outer_scope in 6.60ms
2024-09-20 13:10:21 [INFO] - Test 40 | FAILED: Invalid line range | N/A: mut_nested_field_from_outer_scope in 6.74ms
2024-09-20 13:10:21 [INFO] - Test 41 | FAILED: Invalid line range | N/A: mut_param_many_usages_stmt in 7.61ms
2024-09-20 13:10:21 [INFO] - Test 42 | FAILED: Invalid line range | N/A: mut_param_many_usages_expr in 7.46ms
2024-09-20 13:10:21 [INFO] - Test 43 | PASSED | FAILED: mut_param_because_of_mut_ref in 66.91ms
2024-09-20 13:10:21 [INFO] - Test 44 | FAILED: Invalid line range | N/A: mut_method_call in 5.50ms
2024-09-20 13:10:21 [INFO] - Test 45 | FAILED: Invalid line range | N/A: copy_used_after in 7.86ms
2024-09-20 13:10:21 [INFO] - Test 46 | FAILED: Invalid line range | N/A: copy_custom_used_after in 1.36ms
2024-09-20 13:10:21 [INFO] - Test 47 | FAILED: Invalid line range | N/A: indented_stmts in 6.74ms
2024-09-20 13:10:21 [INFO] - Test 48 | FAILED: Invalid line range | N/A: indented_stmts_inside_mod in 2.01ms
2024-09-20 13:10:21 [INFO] - Test 49 | FAILED: Invalid line range | N/A: break_loop in 7.73ms
2024-09-20 13:10:21 [INFO] - Test 50 | PASSED | FAILED: return_to_parent in 71.76ms
2024-09-20 13:10:21 [INFO] - Test 51 | FAILED: Invalid line range | N/A: break_loop_with_if in 7.77ms
2024-09-20 13:10:21 [INFO] - Test 52 | FAILED: Invalid line range | N/A: break_loop_nested in 8.58ms
2024-09-20 13:10:21 [INFO] - Test 53 | FAILED: Invalid line range | N/A: break_loop_nested_labeled in 10.97ms
2024-09-20 13:10:21 [INFO] - Test 54 | FAILED: Invalid line range | N/A: continue_loop_nested_labeled in 9.76ms
2024-09-20 13:10:21 [INFO] - Test 55 | FAILED: Invalid line range | N/A: return_from_nested_loop in 7.73ms
2024-09-20 13:10:21 [INFO] - Test 56 | FAILED: Invalid line range | N/A: break_from_nested_loop in 6.23ms
2024-09-20 13:10:21 [INFO] - Test 57 | FAILED: Invalid line range | N/A: break_from_nested_and_outer_loops in 7.22ms
2024-09-20 13:10:21 [INFO] - Test 58 | FAILED: Invalid line range | N/A: return_from_nested_fn in 1.81ms
2024-09-20 13:10:21 [INFO] - Test 59 | FAILED: Invalid line range | N/A: break_with_value in 6.87ms
2024-09-20 13:10:21 [INFO] - Test 60 | FAILED: Invalid line range | N/A: break_with_value_and_label in 8.34ms
2024-09-20 13:10:21 [INFO] - Test 61 | FAILED: Invalid line range | N/A: break_with_value_and_return in 7.69ms
2024-09-20 13:10:21 [INFO] - Test 62 | FAILED: Invalid line range | N/A: try_option in 8.86ms
2024-09-20 13:10:21 [INFO] - Test 63 | PASSED | FAILED: try_option_unit in 70.03ms
2024-09-20 13:10:21 [INFO] - Test 64 | PASSED | FAILED: try_result in 85.70ms
2024-09-20 13:10:21 [INFO] - Test 65 | PASSED | FAILED: try_option_with_return in 69.91ms
2024-09-20 13:10:21 [INFO] - Test 66 | PASSED | FAILED: try_result_with_return in 66.00ms
2024-09-20 13:10:22 [INFO] - Test 67 | PASSED | FAILED: try_and_return_ok in 78.85ms
2024-09-20 13:10:22 [INFO] - Test 68 | FAILED: Invalid line range | N/A: param_usage_in_macro in 5.31ms
2024-09-20 13:10:22 [INFO] - Test 69 | FAILED: Invalid line range | N/A: param_usage_in_macro_with_nested_tt in 7.46ms
2024-09-20 13:10:22 [INFO] - Test 70 | FAILED: Invalid line range | N/A: param_usage_in_macro_with_nested_tt_2 in 6.62ms
2024-09-20 13:10:22 [INFO] - Test 71 | FAILED: Invalid line range | N/A: extract_with_await in 8.10ms
2024-09-20 13:10:22 [INFO] - Test 72 | FAILED: Invalid line range | N/A: extract_with_await_and_result_not_producing_match_expr in 1.25ms
2024-09-20 13:10:22 [INFO] - Test 73 | FAILED: Invalid line range | N/A: extract_with_await_and_result_producing_match_expr in 7.54ms
2024-09-20 13:10:22 [INFO] - Test 74 | FAILED: Invalid line range | N/A: extract_with_await_in_args in 9.18ms
2024-09-20 13:10:22 [INFO] - Test 75 | FAILED: Invalid line range | N/A: extract_does_not_tear_comments_apart in 6.47ms
2024-09-20 13:10:22 [INFO] - Test 76 | FAILED: Invalid line range | N/A: extract_does_not_tear_body_apart in 5.88ms
2024-09-20 13:10:22 [INFO] - Test 77 | FAILED: Invalid line range | N/A: extract_does_not_wrap_res_in_res in 1.63ms
2024-09-20 13:10:22 [INFO] - Test 78 | FAILED: Invalid line range | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 6.79ms
2024-09-20 13:10:22 [INFO] - Test 79 | FAILED: Invalid line range | N/A: extract_with_macro_arg in 5.94ms
2024-09-20 13:10:22 [INFO] - Test 80 | FAILED: Invalid line range | N/A: unresolveable_types_default_to_placeholder in 5.89ms
2024-09-20 13:10:22 [INFO] - Test 81 | FAILED: Invalid line range | N/A: reference_mutable_param_with_further_usages in 8.27ms
2024-09-20 13:10:22 [INFO] - Test 82 | FAILED: Invalid line range | N/A: reference_mutable_param_without_further_usages in 6.11ms
2024-09-20 13:10:22 [INFO] - Test 83 | FAILED: Invalid line range | N/A: does_not_import_control_flow in 13.04ms
2024-09-20 13:10:22 [INFO] - Test 84 | FAILED: Invalid line range | N/A: extract_function_copies_comment_at_start in 1.73ms
2024-09-20 13:10:22 [INFO] - Test 85 | PASSED | Error: Parse error: cannot parse string into token stream: extract_function_copies_comment_in_between in 66.14ms
2024-09-20 13:10:22 [INFO] - Test 86 | FAILED: Invalid line range | N/A: extract_function_copies_comment_at_end in 6.65ms
2024-09-20 13:10:22 [INFO] - Test 87 | FAILED: Invalid line range | N/A: extract_function_copies_comment_indented in 7.79ms
2024-09-20 13:10:22 [INFO] - Test 88 | FAILED: Invalid line range | N/A: extract_function_does_preserve_whitespace in 6.53ms
2024-09-20 13:10:22 [INFO] - Test 89 | FAILED: Invalid line range | N/A: extract_function_long_form_comment in 6.68ms
2024-09-20 13:10:22 [INFO] - Test 90 | FAILED: Invalid line range | N/A: it_should_not_generate_duplicate_function_names in 5.90ms
2024-09-20 13:10:22 [INFO] - Test 91 | FAILED: Invalid line range | N/A: should_increment_suffix_until_it_finds_space in 6.76ms
2024-09-20 13:10:22 [INFO] - Test 92 | FAILED: Invalid line range | N/A: extract_method_from_trait_impl in 6.12ms
2024-09-20 13:10:22 [INFO] - Test 93 | FAILED: Invalid line range | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 7.38ms
2024-09-20 13:10:22 [INFO] - Test 94 | FAILED: Invalid line range | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 6.04ms
2024-09-20 13:10:22 [INFO] - Test 95 | FAILED: Invalid line range | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 7.56ms
2024-09-20 13:10:22 [INFO] - Test 96 | FAILED: Invalid line range | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 6.62ms
2024-09-20 13:10:22 [INFO] - Test 97 | FAILED: Invalid line range | N/A: closure_arguments in 6.79ms
2024-09-20 13:10:22 [INFO] - Test 98 | FAILED: Invalid line range | N/A: preserve_generics in 5.45ms
2024-09-20 13:10:22 [INFO] - Test 99 | FAILED: Invalid line range | N/A: dont_emit_type_with_hidden_lifetime_parameter in 6.13ms
2024-09-20 13:10:22 [INFO] - Test 100 | FAILED: Invalid line range | N/A: preserve_generics_from_body in 6.15ms
2024-09-20 13:10:22 [INFO] - Test 101 | FAILED: Invalid line range | N/A: filter_unused_generics in 6.18ms
2024-09-20 13:10:22 [INFO] - Test 102 | FAILED: Invalid line range | N/A: empty_generic_param_list in 6.64ms
2024-09-20 13:10:22 [INFO] - Test 103 | FAILED: Invalid line range | N/A: preserve_where_clause in 5.77ms
2024-09-20 13:10:22 [INFO] - Test 104 | FAILED: Invalid line range | N/A: filter_unused_where_clause in 6.97ms
2024-09-20 13:10:22 [INFO] - Test 105 | FAILED: Invalid line range | N/A: nested_generics in 1.51ms
2024-09-20 13:10:22 [INFO] - Test 106 | FAILED: Invalid line range | N/A: filters_unused_nested_generics in 6.29ms
2024-09-20 13:10:22 [INFO] - Test 107 | FAILED: Invalid line range | N/A: nested_where_clauses in 7.44ms
2024-09-20 13:10:22 [INFO] - Test 108 | FAILED: Invalid line range | N/A: filters_unused_nested_where_clauses in 6.97ms
2024-09-20 13:10:22 [INFO] - Test 109 | FAILED: Invalid line range | N/A: tail_expr_no_extra_control_flow in 8.61ms
2024-09-20 13:10:22 [INFO] - Test 110 | FAILED: Invalid line range | N/A: non_tail_expr_of_tail_expr_loop in 6.46ms
2024-09-20 13:10:22 [INFO] - Test 111 | FAILED: Invalid line range | N/A: non_tail_expr_of_tail_if_block in 8.98ms
2024-09-20 13:10:22 [INFO] - Test 112 | FAILED: Invalid line range | N/A: tail_expr_of_tail_block_nested in 9.25ms
2024-09-20 13:10:22 [INFO] - Test 113 | FAILED: Invalid line range | N/A: non_tail_expr_with_comment_of_tail_expr_loop in 8.17ms
2024-09-20 13:10:22 [INFO] - Test 114 | FAILED: Invalid line range | N/A: comments_in_block_expr in 9.27ms
2024-09-20 13:10:22 [INFO] - ------------------------------------------------------------------
2024-09-20 13:10:22 [INFO] - Total tests run: 114
2024-09-20 13:10:22 [INFO] - Tests passed stage 1: 12
2024-09-20 13:10:22 [INFO] - Tests passed: 0
2024-09-20 13:10:22 [INFO] - Tests failed: 114
2024-09-20 13:10:22 [INFO] - Total time: 1.86s
2024-09-20 13:10:22 [INFO] - Average time per test: 14.01ms
2024-09-20 13:10:22 [INFO] - Shortest test time: 1.25ms
2024-09-20 13:10:22 [INFO] - Longest test time: 116.95ms
